Année,Sexe,Rang,Prénom,Total
1946,Féminin,5,JACQUELINE,12452
1947,Masculin,1,JEAN,51309
1947,Masculin,2,MICHEL,32583
1947,Masculin,3,ALAIN,22783
1947,Masculin,4,DANIEL,21346
1947,Masculin,5,BERNARD,19826
1947,Féminin,1,MARIE,32873
1947,Féminin,2,MONIQUE,16702
1947,Féminin,3,NICOLE,15838
1947,Féminin,4,FRANÇOISE,14753
1947,Féminin,5,DANIELLE,12318
1948,Masculin,1,JEAN,46183
1948,Masculin,2,MICHEL,32277
1948,Masculin,3,ALAIN,23649
1948,Masculin,4,DANIEL,20303
1948,Masculin,5,GÉRARD,19860
1948,Féminin,1,MARIE,30987
1948,Féminin,2,MONIQUE,15989
1948,Féminin,3,FRANÇOISE,15231
1948,Féminin,4,NICOLE,14757
1948,Féminin,5,CHRISTIANE,11445
1949,Masculin,1,JEAN,42770
1949,Masculin,2,MICHEL,30450
1949,Masculin,3,ALAIN,23473
1949,Masculin,4,GÉRARD,20005
1949,Masculin,5,DANIEL,19231
1949,Féminin,1,MARIE,30292
1949,Féminin,2,FRANÇOISE,15256
1949,Féminin,3,MONIQUE,15213
1949,Féminin,4,MARTINE,13968
1949,Féminin,5,NICOLE,13546
1950,Masculin,1,JEAN,38266
1950,Masculin,2,MICHEL,27955
1950,Masculin,3,ALAIN,24047
1950,Masculin,4,GÉRARD,18615
1950,Masculin,5,BERNARD,18354
1950,Féminin,1,MARIE,28028
1950,Féminin,2,MARTINE,16288
1950,Féminin,3,FRANÇOISE,14734
1950,Féminin,4,MONIQUE,14647
1950,Féminin,5,NICOLE,12692
1951,Masculin,1,JEAN,35221
1951,Masculin,2,MICHEL,25136
1951,Masculin,3,ALAIN,23032
1951,Masculin,4,BERNARD,16985
1951,Masculin,5,CHRISTIAN,16677
1951,Féminin,1,MARIE,25069
1951,Féminin,2,MARTINE,19005
1951,Féminin,3,FRANÇOISE,13650
1951,Féminin,4,MONIQUE,12791
1951,Féminin,5,NICOLE,11538
1952,Masculin,1,JEAN,33904
1952,Masculin,2,MICHEL,23768
1952,Masculin,3,ALAIN,21918
1952,Masculin,4,BERNARD,17878
1952,Masculin,5,CHRISTIAN,16142
1952,Féminin,1,MARIE,25621
1952,Féminin,2,MARTINE,20605
1952,Féminin,3,FRANÇOISE,12965
1952,Féminin,4,CHANTAL,12301
1952,Féminin,5,MONIQUE,11359
1953,Masculin,1,JEAN,29279
1953,Masculin,2,MICHEL,22351
1953,Masculin,3,ALAIN,21297
1953,Masculin,4,PATRICK,18445
1953,Masculin,5,CHRISTIAN,16819
1953,Féminin,1,MARIE,22537
1953,Féminin,2,MARTINE,22391
1953,Féminin,3,CHANTAL,12893
1953,Féminin,4,FRANÇOISE,12448
1953,Féminin,5,MONIQUE,10267
1954,Masculin,1,JEAN,28495
1954,Masculin,2,MICHEL,21381
1954,Masculin,3,PATRICK,20728
1954,Masculin,4,ALAIN,20319
1954,Masculin,5,CHRISTIAN,17077
1954,Féminin,1,MARIE,23379
1954,Féminin,2,MARTINE,22820
1954,Féminin,3,CHANTAL,13187
1954,Féminin,4,FRANÇOISE,12184
1954,Féminin,5,CATHERINE,9962
1955,Masculin,1,JEAN,24790
1955,Masculin,2,MICHEL,21553
1955,Masculin,3,PATRICK,20310
1955,Masculin,4,ALAIN,19868
1955,Masculin,5,PHILIPPE,17615
1955,Féminin,1,MARTINE,20839
1955,Féminin,2,MARIE,19882
1955,Féminin,3,FRANÇOISE,12854
1955,Féminin,4,CHANTAL,12541
1955,Féminin,5,CATHERINE,12493
1956,Masculin,1,JEAN,23870
1956,Masculin,2,PATRICK,21351
1956,Masculin,3,MICHEL,20435
1956,Masculin,4,PHILIPPE,18832
1956,Masculin,5,ALAIN,18529
1956,Féminin,1,MARIE,19518
1956,Féminin,2,MARTINE,19419
1956,Féminin,3,CATHERINE,14071
1956,Féminin,4,FRANÇOISE,12701
1956,Féminin,5,BRIGITTE,12357
1957,Masculin,1,JEAN,22122
1957,Masculin,2,PATRICK,21064
1957,Masculin,3,PHILIPPE,20745
1957,Masculin,4,MICHEL,19031
1957,Masculin,5,ALAIN,17561
1957,Féminin,1,MARIE,18125
1957,Féminin,2,MARTINE,17831
1957,Féminin,3,BRIGITTE,15476
1957,Féminin,4,CATHERINE,15428
1957,Féminin,5,FRANÇOISE,12480
1958,Masculin,1,PHILIPPE,22108
1958,Masculin,2,JEAN,21056
1958,Masculin,3,PATRICK,19909
1958,Masculin,4,MICHEL,17719
1958,Masculin,5,ALAIN,16059
1958,Féminin,1,MARIE,18017
1958,Féminin,2,BRIGITTE,17145
1958,Féminin,3,MARTINE,17076
1958,Féminin,4,CATHERINE,16418
1958,Féminin,5,SYLVIE,13222
1959,Masculin,1,PHILIPPE,23437
1959,Masculin,2,JEAN,20090
1959,Masculin,3,PATRICK,20022
1959,Masculin,4,MICHEL,16425
1959,Masculin,5,ALAIN,16389
1959,Féminin,1,BRIGITTE,18164
1959,Féminin,2,CATHERINE,16802
1959,Féminin,3,MARIE,16537
1959,Féminin,4,SYLVIE,15447
1959,Féminin,5,MARTINE,15192
1960,Masculin,1,PHILIPPE,24762
1960,Masculin,2,PATRICK,18524
1960,Masculin,3,PASCAL,17778
1960,Masculin,4,JEAN,17526
1960,Masculin,5,ALAIN,15275
1960,Féminin,1,CATHERINE,18043
1960,Féminin,2,SYLVIE,17656
1960,Féminin,3,CHRISTINE,15156
1960,Féminin,4,MARIE,14895
1960,Féminin,5,BRIGITTE,14609
1961,Masculin,1,PHILIPPE,24968
1961,Masculin,2,PASCAL,19891
1961,Masculin,3,ERIC,17888
1961,Masculin,4,PATRICK,17700
1961,Masculin,5,JEAN,16031
1961,Féminin,1,SYLVIE,19193
1961,Féminin,2,CATHERINE,19007
1961,Féminin,3,CHRISTINE,15575
1961,Féminin,4,MARIE,14166
1961,Féminin,5,ISABELLE,13490
1962,Masculin,1,PHILIPPE,24923
1962,Masculin,2,PASCAL,21256
1962,Masculin,3,ERIC,17906
1962,Masculin,4,PATRICK,16248
1962,Masculin,5,THIERRY,15744
1962,Féminin,1,SYLVIE,20823
1962,Féminin,2,CATHERINE,19706
1962,Féminin,3,ISABELLE,15826
1962,Féminin,4,CHRISTINE,14766
1962,Féminin,5,VÉRONIQUE,14666
1963,Masculin,1,PHILIPPE,26211
1963,Masculin,2,PASCAL,20641
1963,Masculin,3,ERIC,20041
1963,Masculin,4,THIERRY,19021
1963,Masculin,5,PATRICK,17213
1963,Féminin,1,SYLVIE,25669
1963,Féminin,2,CATHERINE,19902
1963,Féminin,3,ISABELLE,17555
1963,Féminin,4,VÉRONIQUE,16206
1963,Féminin,5,CHRISTINE,16113
1964,Masculin,1,PHILIPPE,26023
1964,Masculin,2,THIERRY,25519
1964,Masculin,3,ERIC,19971
1964,Masculin,4,PASCAL,17847
1964,Masculin,5,PATRICK,16110
1964,Féminin,1,SYLVIE,27551
1964,Féminin,2,NATHALIE,22185
1964,Féminin,3,ISABELLE,21520
1964,Féminin,4,CATHERINE,18596
1964,Féminin,5,CHRISTINE,16042
1965,Masculin,1,THIERRY,24540
1965,Masculin,2,PHILIPPE,24162
1965,Masculin,3,ERIC,20135
1965,Masculin,4,PASCAL,17524
1965,Masculin,5,LAURENT,15231
1965,Féminin,1,NATHALIE,30291
1965,Féminin,2,SYLVIE,24640
1965,Féminin,3,ISABELLE,23977
1965,Féminin,4,CATHERINE,16442
1965,Féminin,5,VALÉRIE,16302
1966,Masculin,1,PHILIPPE,22738
1966,Masculin,2,CHRISTOPHE,20673
1966,Masculin,3,THIERRY,19353
1966,Masculin,4,ERIC,18200
1966,Masculin,5,PASCAL,16715
1966,Féminin,1,NATHALIE,31410
1966,Féminin,2,ISABELLE,23229
1966,Féminin,3,SYLVIE,20313
1966,Féminin,4,VALÉRIE,20261
1966,Féminin,5,CATHERINE,15112
1967,Masculin,1,CHRISTOPHE,21727
1967,Masculin,2,PHILIPPE,21230
1967,Masculin,3,LAURENT,17455
1967,Masculin,4,ERIC,16712
1967,Masculin,5,THIERRY,15754
1967,Féminin,1,NATHALIE,29233
1967,Féminin,2,VALÉRIE,22460
1967,Féminin,3,ISABELLE,21633
1967,Féminin,4,SYLVIE,17317
1967,Féminin,5,VÉRONIQUE,13036
1968,Masculin,1,CHRISTOPHE,21470
1968,Masculin,2,LAURENT,19232
1968,Masculin,3,PHILIPPE,18527
1968,Masculin,4,ERIC,16254
1968,Masculin,5,STÉPHANE,14728
1968,Féminin,1,NATHALIE,28584
1968,Féminin,2,VALÉRIE,21759
1968,Féminin,3,ISABELLE,20475
1968,Féminin,4,SYLVIE,17145
1968,Féminin,5,SANDRINE,13078
1969,Masculin,1,CHRISTOPHE,22638
1969,Masculin,2,LAURENT,19828
1969,Masculin,3,STÉPHANE,17685
1969,Masculin,4,PHILIPPE,16041
1969,Masculin,5,ERIC,14082
1969,Féminin,1,NATHALIE,28360
1969,Féminin,2,VALÉRIE,22556
1969,Féminin,3,ISABELLE,18843
1969,Féminin,4,SANDRINE,15207
1969,Féminin,5,SYLVIE,14463
1970,Masculin,1,CHRISTOPHE,21850
1970,Masculin,2,STÉPHANE,21794
1970,Masculin,3,LAURENT,19958
1970,Masculin,4,DAVID,18457
1970,Masculin,5,OLIVIER,14459
1970,Féminin,1,NATHALIE,26217
1970,Féminin,2,VALÉRIE,19388
1970,Féminin,3,SANDRINE,18037
1970,Féminin,4,ISABELLE,16543
1970,Féminin,5,SYLVIE,12388
1971,Masculin,1,STÉPHANE,23326
1971,Masculin,2,CHRISTOPHE,22097
1971,Masculin,3,LAURENT,19723
1971,Masculin,4,DAVID,17265
